name,category,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,carbohydrates,fiber,sugar,protein
milk,Dairy,100g,51.3,1.9,1.2,8,52,4.9,0,0,3.5
cheese,Dairy,100g,393.9,33,18.9,100,661,3.2,0,0.5,22.7
yogurt,Dairy,100g,64.2,1.6,1,5,69,7.2,0,7.1,5.3
butter,Dairy,100g,721.5,79.6,51.1,215,637,0.1,0,0.1,0.8
cream,Dairy,100g,347.4,35.6,22.9,111,27,2.8,0,2.9,2.9
cottage cheese,Dairy,100g,98.3,4.3,1.7,16,370,3.4,0,2.7,11.2
sour cream,Dairy,100g,192.5,19.6,10.1,58,30,4.7,0,3.4,2.4
mozzarella,Dairy,100g,295.5,22.6,13.1,79,629,2.2,0,1,22.1
feta,Dairy,100g,260.8,21.1,14.8,88,899,4.1,0,4.1,14.2
cream cheese,Dairy,100g,342,34,20.1,100,309,5.5,0,3.7,6.2
ice cream,Dairy,100g,207.1,11,6.8,44,78,23.6,0.7,21.3,3.5
kefir,Dairy,100g,45.9,0.9,0.6,4,186,4.8,0,4.7,4.5
parmesan,Dairy,100g,419.3,27.6,15.4,85,1811,14.1,0,0,28.6
ricotta,Dairy,100g,134,8.1,4.9,31,100,5.1,0,0.3,11.3
blue cheese,Dairy,100g,346.9,28.9,18.5,76,1156,2.3,0,0.5,21.6
gouda,Dairy,100g,345.6,27.4,17.5,111,830,2.3,0,2.2,25.1
cheddar,Dairy,100g,415.6,33.9,18.8,97,640,3.1,0,0.5,22.8
swiss cheese,Dairy,100g,396,31.4,18.3,91,183,1.4,0,0,26.9
provolone,Dairy,100g,352.5,26.3,17.1,68,875,2.1,0,0.6,25.7
brie,Dairy,100g,326.3,27.2,17.5,99,633,0.5,0,0.5,20.8
rice,Carbohydrate,100g,127.4,0.3,0.1,0,1,28.4,0.4,0.1,2.7
pasta,Carbohydrate,100g,156,0.9,0.2,0,1,31.3,1.8,0.6,5.7
bread,Carbohydrate,100g,261.6,3.4,0.7,0,495,50.2,2.7,5.7,8.8
potato,Carbohydrate,100g,92.7,0.1,0,0,10,21,2.2,1.2,2.5
sweet potato,Carbohydrate,100g,77.5,0.1,0,0,26,17.5,2.5,5.8,1.4
oats,Carbohydrate,100g,386.8,6.6,1.1,0,5,68,10.2,1,13.3
quinoa,Carbohydrate,100g,121.8,1.9,0.2,0,6,21,2.8,0.9,4.4
corn,Carbohydrate,100g,93.9,1.5,0.2,0,1,21,2.4,4.6,3.4
barley,Carbohydrate,100g,124.8,0.4,0.1,0,3,28.6,3.9,0.3,2.2
wheat,Carbohydrate,100g,333.4,1.9,0.3,0,1,69.2,12.3,0.4,15.4
buckwheat,Carbohydrate,100g,92.5,0.6,0.1,0,3,20.1,2.7,0.9,3.4
millet,Carbohydrate,100g,122.2,1,0.2,0,1,23.6,1.3,0.1,3.5
pita bread,Carbohydrate,100g,281.1,1.2,0.2,0,540,55.4,2.2,1.3,9.1
tortilla,Carbohydrate,100g,316,7.1,1.7,0,479,55.4,3.3,0,8.7
couscous,Carbohydrate,100g,114.1,0.2,0,0,5,23.4,1.4,0.1,3.8
